2.5145e-08,-6.0909e-09,-1.1492e-07,-3.3727e-08,1.0226e-07,-1.5694e-07
1.9824e-07,-5.0927e-08,-9.203e-07,-2.685e-07,8.2125e-07,-1.2563e-06
6.6564e-07,-1.7432e-07,-3.1066e-06,-9.0442e-07,2.7749e-06,-4.2403e-06
1.5733e-06,-4.1601e-07,-7.3631e-06,-2.141e-06,6.58e-06,-1.005e-05
3.0667e-06,-8.1564e-07,-1.4377e-05,-4.1769e-06,1.2852e-05,-1.9623e-05
5.2906e-06,-1.4127e-06,-2.4835e-05,-7.2094e-06,2.2205e-05,-3.3897e-05
8.3888e-06,-2.2464e-06,-3.9418e-05,-1.1435e-05,3.525e-05,-5.3803e-05
1.2504e-05,-3.356e-06,-5.8806e-05,-1.7047e-05,5.2596e-05,-8.0271e-05
1.7778e-05,-4.7803e-06,-8.3673e-05,-2.4237e-05,7.4847e-05,-0.00011422
2.4351e-05,-6.5578e-06,-0.00011469,-3.3196e-05,0.00010261,-0.00015658
3.2362e-05,-8.7267e-06,-0.00015252,-4.4111e-05,0.00013647,-0.00020825
4.1947e-05,-1.1325e-05,-0.00019783,-5.7165e-05,0.00017703,-0.00027013
5.3242e-05,-1.439e-05,-0.00025127,-7.2539e-05,0.00022487,-0.00034314
6.6378e-05,-1.7959e-05,-0.00031349,-9.0411e-05,0.00028058,-0.00042815
8.1488e-05,-2.2069e-05,-0.00038512,-0.00011095,0.00034473,-0.00052605
9.8699e-05,-2.6755e-05,-0.0004668,-0.00013434,0.00041789,-0.0006377
0.00011814,-3.2053e-05,-0.00055915,-0.00016073,0.00050063,-0.00076398
0.00013992,-3.7999e-05,-0.00066278,-0.00019028,0.00059349,-0.00090572
0.00016418,-4.4626e-05,-0.00077831,-0.00022315,0.00069703,-0.0010638
0.00019103,-5.1968e-05,-0.00090632,-0.0002595,0.00081179,-0.001239
0.00022057,-6.006e-05,-0.0010474,-0.00029946,0.00093829,-0.0014321
0.00025293,-6.8932e-05,-0.0012021,-0.00034318,0.0010771,-0.001644
0.0002882,-7.8617e-05,-0.0013711,-0.00039079,0.0012286,-0.0018754
0.0003265,-8.9146e-05,-0.0015548,-0.00044241,0.0013934,-0.0021271
0.00036792,-0.00010055,-0.0017538,-0.00049817,0.001572,-0.0023999
0.00041255,-0.00011286,-0.0019686,-0.00055818,0.0017649,-0.0026945
0.0004605,-0.00012609,-0.0021997,-0.00062254,0.0019725,-0.0030116
