     t     ,   ref   ,   pj0    ,    vj0    ,    tj0    ,    pj1    ,    vj1    ,    tj1    ,    pj2    ,    vj2    ,    tj2    ,    pj3    ,    vj3    ,    tj3    ,    pj4    ,    vj4    ,    tj4    ,    pj5    ,    vj5    ,    tj5    
   0.02400,    0.00000,    0.00002,    0.00000,   -0.02900,   -1.57081,    0.00000,    0.96834,    0.00006,    0.00000,   -1.34229,   -1.57086,    0.00000,    0.13280,   -0.00006,    0.00000,   -0.09209,    0.00000,    0.00000,   -0.11190
   0.02500,    0.00000,    0.00002,    0.00000,   -0.02900,   -1.57083,    0.00000,    0.90965,    0.00004,    0.00000,   -1.48509,   -1.57083,    0.00000,    0.12259,   -0.00006,    0.00000,   -0.06651,   -0.00001,    0.00000,   -0.14751
   0.02600,    0.00000,    0.00002,    0.00000,   -0.02900,   -1.57081,    0.00000,    0.82162,   -0.00001,    0.00000,   -1.38513,   -1.57081,    0.00000,    0.10216,   -0.00004,    0.00000,   -0.09209,   -0.00002,    0.00000,   -0.13733
   0.02700,    0.00000,    0.00001,    0.00000,   -0.05801,   -1.57082,    0.00000,    0.88031,    0.00005,    0.00000,   -1.28517,   -1.57083,    0.00000,    0.10216,   -0.00002,    0.00000,   -0.08186,    0.00001,    0.00000,   -0.13733
   0.02800,    0.00000,    0.00004,    0.00000,   -0.02900,   -1.57080,    0.00000,    0.90965,    0.00008,    0.00000,   -1.39941,   -1.57084,    0.00000,    0.12259,   -0.00005,    0.00000,   -0.04093,   -0.00004,    0.00000,   -0.12716
   0.02900,    0.00000,    0.00004,    0.00000,   -0.11602,   -1.57077,    0.00000,    0.88031,    0.00004,    0.00000,   -1.32801,   -1.57083,    0.00000,    0.10216,   -0.00005,    0.00000,   -0.10744,    0.00000,    0.00000,   -0.11190
   0.03000,    0.00000,    0.00002,    0.00000,    0.02900,   -1.57077,    0.00000,    0.93900,    0.00004,    0.00000,   -1.17093,   -1.57083,    0.00000,    0.12259,   -0.00005,    0.00000,   -0.07674,    0.00000,    0.00000,   -0.15259
   0.03100,    0.00000,    0.00002,    0.00000,    0.02900,   -1.57081,    0.00000,    0.88031,    0.00004,    0.00000,   -1.44225,   -1.57084,    0.00000,    0.08173,   -0.00006,    0.00000,   -0.07674,    0.00000,    0.00000,   -0.13225
   0.03200,    0.00000,    0.00005,    0.00000,    0.02900,   -1.57080,    0.00000,    0.76293,    0.00004,    0.00000,   -1.37085,   -1.57087,    0.00000,    0.12259,   -0.00004,    0.00000,   -0.02558,   -0.00004,    0.00000,   -0.12716
   0.03300,    0.00000,    0.00000,    0.00000,   -0.08701,   -1.57083,    0.00000,    0.93900,    0.00006,    0.00000,   -1.42797,   -1.57082,    0.00000,    0.08173,   -0.00004,    0.00000,   -0.07163,   -0.00004,    0.00000,   -0.14242
   0.03400,    0.00000,    0.00006,    0.00000,   -0.02900,   -1.57081,    0.00000,    0.82162,    0.00004,    0.00000,   -1.44225,   -1.57083,    0.00000,    0.09194,   -0.00007,    0.00000,   -0.08697,   -0.00002,    0.00000,   -0.12716
   0.03500,    0.00000,    0.00000,    0.00000,   -0.02900,   -1.57080,    0.00000,    0.88031,    0.00002,    0.00000,   -1.32801,   -1.57082,    0.00000,    0.11748,   -0.00004,    0.00000,   -0.06651,   -0.00002,    0.00000,   -0.12716
   0.03600,    0.00000,    0.00005,    0.00000,   -0.05801,   -1.57081,    0.00000,    0.88031,    0.00001,    0.00000,   -1.15665,   -1.57083,    0.00000,    0.09705,   -0.00007,    0.00000,   -0.09209,   -0.00002,    0.00000,   -0.11190
   0.03700,    0.00000,    0.00002,    0.00000,    0.08701,   -1.57080,    0.00000,    0.85097,    0.00001,    0.00000,   -1.29945,   -1.57084,    0.00000,    0.09705,   -0.00006,    0.00000,   -0.08186,   -0.00001,    0.00000,   -0.13733
   0.03800,    0.00000,    0.00004,    0.00000,    0.05801,   -1.57080,    0.00000,    0.85097,    0.00004,    0.00000,   -1.29945,   -1.57083,    0.00000,    0.10727,   -0.00006,    0.00000,   -0.11767,    0.00000,    0.00000,   -0.14242
   0.03900,    0.00000,    0.00001,    0.00000,    0.05801,   -1.57083,    0.00000,    0.82162,    0.00006,    0.00000,   -1.35657,   -1.57086,    0.00000,    0.14813,   -0.00002,    0.00000,   -0.05116,    0.00001,    0.00000,   -0.14242
   0.04000,    0.00000,    0.00004,    0.00000,   -0.11602,   -1.57081,    0.00000,    0.90965,    0.00002,    0.00000,   -1.41369,   -1.57086,    0.00000,    0.09194,   -0.00002,    0.00000,   -0.10232,   -0.00001,    0.00000,   -0.19328
   0.04100,    0.00000,   -0.00001,    0.00000,    0.00000,   -1.57083,    0.00000,    0.96834,    0.00005,    0.00000,   -1.42797,   -1.57086,    0.00000,    0.09705,   -0.00005,    0.00000,   -0.07163,    0.00000,    0.00000,   -0.16785
   0.04200,    0.00000,    0.00000,    0.00000,    0.00000,   -1.57081,    0.00000,    0.88031,    0.00004,    0.00000,   -1.41369,   -1.57086,    0.00000,    0.11748,   -0.00001,    0.00000,   -0.05116,    0.00002,    0.00000,   -0.13733
   0.04300,    0.00000,    0.00004,    0.00000,    0.00000,   -1.57081,    0.00000,    0.90965,    0.00004,    0.00000,   -1.35657,   -1.57082,    0.00000,    0.09705,   -0.00007,    0.00000,   -0.10232,    0.00002,    0.00000,   -0.12207
   0.04400,    0.00000,    0.00001,    0.00000,   -0.02900,   -1.57081,    0.00000,    0.90965,    0.00006,    0.00000,   -1.32801,   -1.57084,    0.00000,    0.10727,   -0.00006,    0.00000,   -0.11767,    0.00001,    0.00000,   -0.12207
   0.04500,    0.00000,    0.00005,    0.00000,    0.14502,   -1.57078,    0.00000,    0.85097,    0.00005,    0.00000,   -1.32801,   -1.57084,    0.00000,    0.10216,   -0.00004,    0.00000,   -0.04604,   -0.00004,    0.00000,   -0.14751
   0.04600,    0.00000,    0.00004,    0.00000,    0.02900,   -1.57081,    0.00000,    0.82162,    0.00001,    0.00000,   -1.34229,   -1.57083,    0.00000,    0.11748,   -0.00006,    0.00000,   -0.09720,    0.00004,    0.00000,   -0.14242
   0.04700,    0.00000,   -0.00001,    0.00000,    0.05801,   -1.57082,    0.00000,    0.85097,    0.00006,    0.00000,   -1.45652,   -1.57087,    0.00000,    0.09705,   -0.00007,    0.00000,   -0.10232,    0.00000,    0.00000,   -0.14751
   0.04800,    0.00000,    0.00001,    0.00000,   -0.02900,   -1.57077,    0.00000,    0.82162,    0.00005,    0.00000,   -1.35657,   -1.57087,    0.00000,    0.08683,   -0.00007,    0.00000,   -0.09209,    0.00000,    0.00000,   -0.13733
   0.04900,    0.00000,    0.00000,    0.00000,    0.00000,   -1.57081,    0.00000,    0.90965,    0.00008,    0.00000,   -1.42797,   -1.57083,    0.00000,    0.12770,   -0.00007,    0.00000,   -0.09720,   -0.00002,    0.00000,   -0.16276
   0.05000,    0.00000,    0.00004,    0.00000,    0.02900,   -1.57078,    0.00000,    0.82162,    0.00004,    0.00000,   -1.41369,   -1.57082,    0.00000,    0.13280,   -0.00002,    0.00000,   -0.07674,    0.00002,    0.00000,   -0.11190
   0.05100,    0.00000,    0.00004,    0.00000,   -0.08701,   -1.57078,    0.00000,    0.79228,    0.00004,    0.00000,   -1.38513,   -1.57083,    0.00000,    0.13280,   -0.00006,    0.00000,   -0.11767,    0.00000,    0.00000,   -0.14242
   0.05200,    0.00000,    0.00002,    0.00000,    0.05801,   -1.57075,    0.00000,    0.90965,    0.00007,    0.00000,   -1.24233,   -1.57081,    0.00000,    0.08683,   -0.00002,    0.00000,   -0.09209,    0.00002,    0.00000,   -0.14751
   0.05300,    0.00000,    0.00002,    0.00000,    0.02900,   -1.57078,    0.00000,    0.96834,    0.00000,    0.00000,   -1.29945,   -1.57083,    0.00000,    0.10727,   -0.00006,    0.00000,   -0.07674,    0.00000,    0.00000,   -0.11699
   0.05400,    0.00000,    0.00001,    0.00000,    0.02900,   -1.57086,    0.00000,    0.76293,    0.00004,    0.00000,   -1.24233,   -1.57083,    0.00000,    0.07151,   -0.00004,    0.00000,   -0.03070,   -0.00001,    0.00000,   -0.14242
